tên,thời gian,số người,độ khó,nguyên liệu
N/A,15 phút,2 người,dễ,
MÌ spaghetti sốt tôm-rau củ,40 phút,3 người,dễ,200 gr mì Ý (spaghetti); 100 gr tôm lột vỏ; 150 gr nấm kim châm; 90 gr bông cải xanh; 80 gr cà rốt (hoặc bí đỏ); 50 gr hành tây; 10 gr ngò rí; 20 gr bơ lạt; 200 ml whipping cream (cooking cream) hoặc sữa tươi; 1 muỗng cafe muối; 1/2 muỗng cafe tiêu xay
Cơm Rang Dưa Bò,15 phút,2 người,dễ,400 g Cơm nguội; 150 g Thịt bò; 100 g Dưa cải muối; 2 cây Hành lá; 1 quả Trứng gà; 1 thìa cà phê Tỏi băm; 2 thìa canh Dầu ăn; 1 thìa canh Nước mắm; 1/2 thìa cà phê Hạt tiêu
Pate Nấm và Khoai Lang Chay,30 phút,2 người,dễ,"200 g Khoai lang; 100 g Nấm hương tươi; 1/2 củ (khoảng 50g) Hành tây; 1 thìa canh (khoảng 15g) Bơ đậu phộng; 10 g Bơ thực vật; 1/4 thìa cà phê Muối; 1/4 thìa cà phê Tiêu; 2 lát Bánh mì nguyên cám (hoặc bánh mì hạt); 1 thìa cà phê Hạt mè, hạt lanh (nếu có)"
Rau luộc và trứng luộc,15 phút,1 người,dễ,4 quả Trứng gà ta; 1/2 bắp cải; 2 quả cà chua
Gà Hấp Nấm (One Pot),15 phút,2-3 người,dễ,1 con (khoảng 1.2kg) Gà nguyên con; 30 g Nấm lộc nhung khô; 20 g Nấm hương khô; 200 g Cải thảo; 20 g Gừng; 2 cây Sả; 1 thìa cà phê Muối; 1 thìa cà phê Bột nghệ; 20 g Hành lá
N/A,15 phút,2 người,dễ,
Đậu phộng da cá nước cốt dừa,15 phút,2 người,dễ,"300 g đậu phộng sống,nhặt bỏ phần hỏng; 1 lon nước cốt dừa( loại coconut cream ) loại 160ml.Nếu mua loại coconut milk hoặc vắt nước cốt nguyên chất thì 200ml + 3-5tbsp phần bột bên ngoài trộn đến khi nó đặc gần giống coconut cream; 200 g bột mì; 20 g bột nếp; 20 g bột bắp; 1/4 tsp bột nở; 1/8 tsp baking soda; 10 g bột béo (bột năng vị cốt dừa của tài ký,ko phải bột sữa béo làm trà sữa ) hoặc bột cốt dừa; 100 g đường"
Thịt Hươu Xào Xả Ớt,35 phút,4 người,dễ,500 g thịt hươu; 5 g củ sả; 1 quả ớt; 1 mcf bột canh; 1 mcf mì chính; 1 thìa nước mắm
Bữa cơm gia đình,45 phút,3 người,dễ,Gà rán nồi chiên không dầu; Bánh và trái cây; Canh rong biển nấu tôm khô
Cá basa chiên giòn,20 phút,2 người,dễ,4 lát cá basa cắt khúc; Gia vị
Cơm nhà nấu nhanh,20 phút,2 người,dễ,Thịt rang đậu hũ; Canh bí thịt xay và rau sống; Yaourt và trái cây
Thịt rang đậu hũ,20 phút,2 người,dễ,300 g thịt ba rọi; 200 g đậu hũ bi chiên; Hành ngò; Gia vị
Canh Khổ qua dồn cá thác lác,15 phút,3 người,dễ,"600 khổ qua; 2 gram cá thác lác; 1 gram thịt xay; 1 lít nước; Gia vị:đường, bột ngọt, hạt nêm, nước mắm; Hành lá"
Bánh Mì Bò Nướng Sả,15 phút,2 người,dễ,500 g Thịt bò xay; 4 muỗng canh Sả băm nhuyễn; 2 muỗng canh Hành tím băm nhuyễn; 2 muỗng canh Hành trắng băm nhuyễn; 1 muỗng cà phê Dầu mè; 2 muỗng cà phê Dầu hào; 1/2 muỗng cà phê Đường; 1/2 muỗng cà phê Bột nêm; 2 muỗng cà phê Tiêu; 2 muỗng cà phê Tương ăn phở ( hoisin ); 4 ổ Bánh mì; 1 chén Dưa chua; Phần sốt; 1 muỗng canh hành tím băm nhuyễn; 1 mcf dầu ăn; 1 muỗng canh bơ; 1/4 cup hoisin sauce; 3 mc nước; 1/2 mc nước chanh; 1 ít tiêu đen
Cá basa chiên EatWell,15 phút,2 người,dễ,"300-400 g cá basa phi lê; 1 ít xả, ớt, hành tỏi , nghệ xay"
Cá Trèn Kho Tộ,35 phút,3-4 người,dễ,600 gam cá Trèn; 5 tbsp nước mắm; 5 tbsp đường; 1 tsp bột ngọt; 1/2 tsp tiêu; 1 tbsp mật ong; 1 tbsp dầu ăn; 1 trái ớt sừng
Thịt kho tàu,30 phút,4 người,dễ,1 thìa cf đường; 100 ml nước; 300g thịt; Gia vị các loại
Mực hấp EatWell,15 phút,2 người,dễ,"3-4 lạng mực ghim. Chọn size đủ nhỏ để vừa 1 con mực /cuốn rau; 1 vài loại rau sống : xà lách , diếp cá , bạc hà , giá…; 1 ít gừng , ớt làm mắm; 1 ít gừng , sả hấp mực"
"Chả cá, giò lụa sốt cà chua",20 phút,2 người,dễ,"300 g giò lụa; 300 g chả cá; 2 quả cà chua; 1 củ hành khô; 3 nhánh tỏi; Hành lá + mùi ta; Gia vị: Tương cà, nước mắm, hạt nêm, muối, đường, tiêu bắc"
Mì trứng xào bò và hành tây,15 phút,2 người,dễ,4 vắt mì trứng; 200 g phi lê bò; 1 củ hành tây; Hành ngò; Gia vị
Mì trứng xào thịt xá xíu,15 phút,1 người,dễ,2 vắt mì trứng; 100 g thịt xá xíu; Hành ngò
Mì Thái tôm chua cay,10 phút,1 người,dễ,"1 gói mì tôm; 1 gói sốt lẩu Thái; 1 ít rau muống cọng; Hành ngò; Topping tùy ý: bò, tôm , mực , nghêu , viên thả lẩu"
Cá hộp sốt cà xào hành tây,15 phút,1 người,dễ,Vài lát bánh mì bơ tỏi; 1 hộp cá nục sốt cà; 1 củ hành tây nhỏ; Hành ngò; Gia vị
