ten,thoi gian,so nguoi,do kho,nguyen lieu,cach che bien
Thịt Gà Sốt Chua Ngọt,30 phút,2 phần,Dễ,300 g Má đùi gà không da | 1/3 thìa cà phê Muối | 50 g Bột chiên giòn | 1/2 quả Ớt chuông đỏ | 1/2 quả Ớt chuông vàng | 1 quả Cà chua | Sốt chua ngọt | 1 thìa canh Dấm | 2 thìa canh Đường | 1/3 tsp muối | 1 thìa canh Dầu mè | 200 ml Dầu ăn | 1 thìa cà phê Mè đen,"Má đùi gà cắt miếng vừa ăn, ướp nhẹ muối. | Lăn gà qua bột chiên giòn, chiên vàng giòn rồi vớt ra để ráo dầu. | Ớt chuông và cà chua cắt miếng vuông nhỏ. | Phi thơm dầu mè, cho cà chua vào xào mềm, thêm ớt chuông, đảo đều. | Thêm dấm, đường, muối, đảo cho tan, nêm lại vị chua ngọt vừa ăn. | Cho gà đã chiên vào sốt, đảo đều cho thấm. | Bày ra đĩa, rắc mè đen lên trên."
NUI xào bò sốt cà chua,50 phút,4 người,Dễ,500 gr nui xoắn | 1 hủ sốt cà chua húng quế (350gr) | 500 gr thịt bò | 170 gr hành tây | 60 gr bơ lạt | 1 muỗng canh dầu ăn | 2 muỗng cafe muối | 2 muỗng cafe đường | 1 muỗng canh hạt nêm | 1 muỗng cafe tiêu,"Thịt bò rửa sạch, để ráo rồi xay nhỏ... Hành tây cắt hạt lựu | Luộc nui: Cho vào nước luộc muối & dầu ăn, nước sôi để nui vào luộc khoảng 8-10 phút cho chín tới, vớt ra rổ không xả nước lạnh (đối với nui ngoại) | Xào nui: Để ít bơ vào chảo, bơ tan cho hành tây vào xào thơm, tiếp đến để thịt bò vào xào săn với lửa lớn, sau đó cho hủ sốt cà & bơ còn lại vào, lúc này nêm nếm gia vị theo vị nhà... Cuối cùng để nui vào đảo đều cho thấm sốt (trong lúc xào nếu thấy sốt ít nước thì lấy nước luộc nui cho thêm vào) | Thành phẩm: Nui dai dai, thịt bò mềm đậm vị, sốt cà chua chua dịu thơm bơ... Nui quyện đều thấm đẫm nước sốt rất ngon"
BÚN CÁ NGỪ,50 phút,4 người,Dễ,1000 g Cá ngừ (rau bún ăn kèm) | 1/4 trái tùy to nhỏ Thơm | 1 trái cà chua | 2 trái ớt sừng cay | hành tím củ | gốc hành | hạt nêm | bột ngọt | đường | tương ớt | muối | giấm | muối tôm tây ninh | tiêu hạt | dầu màu điều | sả cây | Gai ôm | hành lá,"Làm nước sốt kho cá. Trộn cho tan gia vị. | Cá mua về rửa sạch với nước, pha 1 muỗng canh giấm+ 1 muỗng muối+ nước nóng chế vô pha ấm+ ít gừng đập dập xong ngâm 5 phút cho cá hết tanh.(hoặc rửa nước trà xanh) xong vớt cá ra để ráo nước. Sơ chế rau | Giã hành tím 3 củ, gốc hành 3, 2 trái ớt sừng cay giã dập thôi. Tiếp theo cho mỡ heo rồi bỏ dầu màu điều, hỗn hợp hành giã vào tao cho thơm chút rồi bỏ cá vào áp chảo chiên sơ. | Chiên sơ xong đổ chén sốt vào đảo cho thấm và chế thêm nước sôi vào chảo thêm miếng muối chút nước mắm, cho thơm cà, và tiêu vào nấu chung. Nấu tầm 15 phút nêm nếm lại rồi cho hàn ngò gai vào tắt bếp."
Gà Hấp Nấm Đông Cô Táo Tàu,35 phút,4 người,Dễ,500 gam má đùi gà phi lê | 15 gam nấm đông cô khô | 8 trái táo Tàu | 10 gam gừng | 5 tbsp nước ngâm nấm | 2 tbsp nước tương | 1 tbsp hắc xì dầu đặc biệt | 1 tbsp dầu hào | 1.5 tbsp dầu mè | 2 tbsp bột bắp | 1.5 tbsp rượu Thiệu Hưng | 1/3 tsp tiêu,"Thịt má đùi gà phi lê xong thì xắt miếng nhỏ như ngón tay. Nấm đông cô rửa thật sạch ngâm nước trước cho thật mềm thì vớt ra, vắt nước và xắt sợi. Phần nước nấm đông cô giữ lại chứ đừng bỏ. | Cho thịt gà vào một khay hoặc dĩa sâu lòng và ướp với: nước ngâm nấm, nước tương, hắc xì dầu đặc biệt, dầu hào, dầu mè, bột bắp. Trộn thật đều và để khoảng 15 phút cho thấm. | Bắc nồi nước sôi để chuẩn bị hấp. Trong lúc chờ, ta lấy táo Tàu khía nhẹ vài đường, gừng xắt lát, cho lên mặt món ăn. Rưới lên trên rượu Thiệu Hưng và rắc tiêu lên. Khi nước đã sôi mạnh, ta cho món ăn vô nồi, đậy nắp kín và hấp khoảng 15-20 phút trên lửa lớn. Tắt lửa, rưới thêm vô món ăn: rượu Thiệu Hưng, dầu mè, tiêu và dọn lên thưởng thức với cơm trắng."
Cá sòng kho nghệ củ nén,60 phút,2 người,Dễ,2 con (khoảng 500g) Cá sòng | 1 củ (20g) Nghệ tươi | 10 củ Củ nén | 2 trái Ớt tươi | 2 muỗng canh Nước mắm | 1 muỗng cà phê Đường | 1/2 muỗng cà phê Tiêu xay | 2 muỗng canh Dầu ăn | 100 ml Nước lọc | 1 đĩa Rau sống ăn kèm,"Cá sòng làm sạch, để ráo. Nghệ và củ nén giã nhuyễn, ớt băm nhỏ. | Ướp cá với nghệ, củ nén, ớt, nước mắm, đường, tiêu trong 20 phút. | Đun nóng dầu, cho cá vào áp chảo sơ hai mặt cho săn lại. | Thêm phần gia vị ướp còn lại, cho nước lọc vào, kho lửa nhỏ, lật lại đến khi cá thấm và nước sệt lại. | Dọn cá ra đĩa, rưới phần nước kho lên trên, ăn kèm rau sống."
Đậu phụ xào tương miso và rong biển,60 phút,4 người ăn,Dễ,300 g Đậu phụ (chọn loại mềm béo) | 1 muỗng vừa Tương miso | 1 muỗng Màu dầu điều | 1 ít Hạt nêm chay | 1 ít Boa rô băm nhỏ | 1 lá Rong biển khô (cắt nhỏ),"Đậu phụ mềm bóp nhuyễn hoặc tán nhỏ. | Làm nóng chảo, cho màu dầu điều vào. Thêm boa rô băm nhỏ, phi thơm trên lửa vừa. | Cho đậu phụ vào, đảo đều. Nêm hạt nêm chay cho vừa ăn, tiếp tục xào. Xào đến khi đậu phụ ráo bớt nước và hơi săn lại. | Cho tương miso vào, trộn đều. Xào thêm 2–3 phút cho các nguyên liệu hòa quyện. | Thêm rong biển, đảo đều rồi tắt bếp."
Canh rau củ quả bổ dưỡng thanh mát,60 phút,2 người,Dễ,"1/2 trái Bắp ngọt | 1 củ nhỏ Khoai tây | 1 khúc Cà rốt | 1 nhánh nhỏ Bông cải xanh | 1 ít Tàu hũ ky ( váng đậu ) đã chiên sơ | Muối, hạt nêm vừa đủ | 1 ít Tiêu xay","Bắp ngọt cắt khúc hoặc tách hạt tùy ý. Khoai tây gọt vỏ, cắt miếng vừa ăn. Cà rốt cắt lát dày 0,3-0,4cm. Bông cải xanh tách thành những nhánh nhỏ. Tàu hũ ky cắt miếng vừa ăn. | Đun sôi nước, cho bắp ngọt và khoai tây vào nấu trước khoảng 10 phút. Nêm muối, hạt nêm cho thấm. | Thêm cà rốt, nấu tiếp 3–5 phút. Khi cà rốt vừa chín tới, cho bông cải xanh và tàu hũ ky vào. Nêm nếm lại cho vừa ăn | Tắt bếp, rắc tiêu xay lên trên."
Món cho bé: Salad trộn thịt bò và Khoai tây chiên lắc phô mai,20 phút,1 phần,Dễ,100 g Thịt bò | 1/4 củ Hành tây | 1/3 quả Dưa leo | 4 quả Cà chua bi | 20 g Xà lách | 1 củ vừa khoai tây | 3 g Bột phô mai | 1 tép Tỏi | 10 ml Dầu ăn | 5 ml Giấm | 2 g Đường | 1 g Muối | 1 g Tiêu | 10 g Sốt mayonnaise | 10 g Tương cà,"Khoai tây gọt vỏ, cắt que, ngâm nước, chiên vàng rồi lắc với bột phô mai. | Thịt bò thái mỏng, ướp chút bột bắp, dầu hào, dầu tỏi phi. Hành tây cắt lát. | Phi tỏi với dầu, cho thịt bò và hành tây vào xào chín. | Dưa leo, cà chua bi, xà lách rửa sạch, cắt vừa ăn. | Trộn salad với dầu, giấm, đường, muối, tiêu và tỏi phi. | Xếp salad ra đĩa, cho thịt bò xào lên trên. | Khoai tây chiên ăn kèm sốt mayonnaise và tương cà."
Mai Cua Phô Mai,1 giờ,3 người,Dễ,3 con (1 kg) cua | 3 tbsp phô mai mozzarella bào | 1 tsp lá thơm khô | 3 tsp bắp mỹ ngọt,"Sơ chế cua: khi cua còn cột dây, lấy bàn chải chà rửa sạch sẽ, ướp đá cho tê, hấp 20 phút sau nước sôi. | Gỡ thịt để riêng, giữ mai rửa sạch sẽ | Cho mai vào nồi chiên không dầu: thêm bắp, thịt cua, phô mai, rắc xíu lá thơm. | Nướng 200 độ 5 phút dùng nóng nhé!"
Nấm Kim Châm Thì Là Áp Chảo Chay 🌱,20 phút,2 người,Dễ,"1 gói Nấm kim châm | 1 muỗng canh rong biển sấy | 1 muỗng canh bột chiên giòn | 1 muỗng canh nước lọc | 1 chút muối, tiêu, đường | 1 tsp dầu thực vật (để áp chảo) | 1 muỗng canh rau thì là | 100 gr Rau sống : xà lách rau thơm | 1 chén Nước mắm chay | 5-6 cái bánh tráng","Bỏ gốc, cắt nấm thành từng khúc 1 cm, bóp tơi, thêm rong biển bóp vụn, thì là cắt nhỏ, muối tiêu đường, bột chiên giòn trộn đều. | Múc 1/2 dàn mỏng lên chảo thoa dầu lớp mỏng, áp chảo xém vàng | Cho ra đĩa, cắt miếng, cuốn rau sống bánh tráng chấm nước mắm chay rất ngon nha!"
